Gender,Age,EmploymentStatus,NotificationType,Debt,HasPaid
1,57,0,0,360,0
0,25,2,1,300,1
1,51,2,1,600,0
0,40,0,0,279,0
1,43,0,0,807,0
0,54,3,0,240,0
0,54,3,0,240,0
0,47,3,0,1084,0
0,35,0,0,600,0
0,35,0,0,600,0
0,35,0,0,600,0
0,35,0,0,550,0
0,35,0,0,550,0
0,21,2,0,550,0
0,32,2,0,546,1
0,49,3,0,512,0
0,30,2,0,1191,0
0,24,0,0,464,1
0,45,3,0,296,0
0,29,3,0,201,0
0,41,2,0,523,1
0,30,0,0,741,0
0,38,0,0,525,0
0,28,0,0,550,0
0,36,2,1,600,1
0,35,3,0,574,0
0,35,3,0,574,0
0,70,0,0,390,0
0,47,0,0,924,0
0,47,0,0,924,0
0,27,0,0,346,0
0,66,0,0,120,0
0,26,0,0,279,0
0,32,2,1,550,1
0,30,0,0,360,0
0,38,3,0,139,0
1,42,2,1,300,1
0,23,0,0,805,1
1,27,2,1,775,0
0,21,0,0,479,1
0,22,2,1,992,0
0,79,0,0,390,0
0,36,3,0,120,0
0,25,2,1,456,0
0,55,0,0,890,0
0,55,0,0,890,0
1,28,1,0,550,0
1,83,0,0,390,0
0,39,0,0,452,0
0,44,2,0,468,0
0,20,2,0,404,0
0,32,0,0,600,0
0,35,0,0,600,0
0,41,0,0,895,1
0,23,2,0,972,1
0,23,2,0,972,1
0,51,2,0,640,0
0,51,2,0,440,0
0,41,2,0,360,0
1,23,0,0,426,1
0,29,2,0,960,0
1,34,2,1,780,0
1,34,2,1,780,0
0,60,2,1,300,0
0,23,0,0,240,0
0,31,0,0,600,0
0,27,0,0,1087,0
0,43,0,0,900,0
0,60,0,0,450,1
0,48,0,0,830,0
1,24,2,1,300,1
0,23,2,1,429,1
0,23,0,0,300,1
0,59,3,0,314,0
0,39,0,0,300,0
0,53,0,0,1245,0
0,50,0,0,456,0
0,25,0,0,1100,1
0,33,2,0,448,1
0,37,2,1,240,0
0,53,0,0,512,0
1,56,2,1,263,0
0,24,2,0,240,0
0,42,3,0,175,0
0,22,0,0,300,0
0,25,0,0,456,0
0,23,0,0,480,0
0,27,2,0,307,1
1,40,2,1,300,0
0,42,0,0,1728,0
1,24,2,1,438,0
0,29,3,0,326,0
1,27,2,0,395,1
0,62,0,0,850,0
0,40,0,0,830,0
1,20,2,0,790,0
0,21,3,0,550,0
0,57,3,0,376,0
1,46,0,0,930,0
0,22,2,0,449,1
0,64,0,0,300,0
0,54,2,1,600,0
0,54,2,1,600,0
1,22,3,0,272,1
0,39,0,0,600,0
0,35,0,0,300,0
1,30,7,0,600,0
0,23,0,0,227,0
0,23,0,0,227,0
0,24,0,0,818,0
0,25,3,0,437,0
1,35,0,0,240,0
0,22,0,0,1036,0
1,31,3,0,120,1
1,46,2,1,126,0
0,52,0,0,349,0
1,59,0,0,345,1
0,43,0,0,450,0
0,43,0,0,450,0
0,26,0,0,300,0
0,26,0,0,300,0
1,26,2,0,413,0
0,52,2,1,300,0
0,54,2,1,266,0
0,58,3,0,259,0
0,23,0,0,438,0
0,23,0,0,438,0
0,25,5,0,600,0
0,25,5,0,600,0
0,25,2,0,314,0
0,25,3,0,240,0
0,39,2,1,900,0
1,31,4,0,175,1
0,22,2,1,388,0
0,39,2,0,474,0
0,42,0,0,800,0
0,34,0,0,850,0
0,43,2,1,300,1
0,53,0,0,267,0
0,62,2,1,300,0
0,46,2,0,192,0
0,33,0,0,240,0
0,58,3,0,308,0
0,30,2,0,495,0
0,51,0,0,1080,0
0,26,0,0,1344,0
0,28,0,0,329,0
0,24,0,0,534,0
0,19,2,0,640,1
0,42,3,0,408,0
0,49,1,0,600,0
0,55,0,0,864,0
0,36,0,0,360,0
0,21,2,0,1100,0
0,41,0,0,400,0
0,41,0,0,400,0
0,38,1,0,550,0
0,21,2,0,550,0
0,42,0,0,992,0
0,51,2,0,369,0
0,26,0,0,850,0
1,33,0,0,1296,0
0,48,2,0,964,0
1,26,0,0,1100,0
0,30,2,1,300,1
0,29,0,0,240,0
0,39,0,0,360,0
0,49,0,0,696,0
0,35,0,0,300,0
0,22,3,0,140,1
0,31,2,0,405,1
0,38,2,0,394,0
0,33,2,1,600,0
1,40,2,1,443,0
0,47,3,0,464,0
0,29,2,1,384,0
0,63,2,0,416,0
0,32,3,0,346,1
0,32,0,0,600,0
0,25,0,0,830,0
0,57,3,0,900,0
0,56,0,0,1359,0
1,49,1,0,550,0
